px,py,yaw,continuous_lane_id
726.0068,495.8775,-1.706095,3.0
724.4726,486.1076,-1.772729,3.0
722.0991,476.565,-1.865898,3.0
718.8482,467.2844,-1.959078,3.0
714.7482,458.3465,-2.052187,3.0
709.8346,449.8287,-2.145341,3.0
704.15,441.8048,-2.238445,3.0
697.7727,434.2133,-2.281786,3.0
691.2469,426.636,-2.281511,3.0
684.7688,418.9745,-2.261705,3.0
678.444,411.1839,-2.241705,3.0
672.2762,403.2683,-2.221762,3.0
666.2468,395.2757,-2.215945,3.0
660.2336,387.2856,-2.215945,3.0
654.2204,379.2954,-2.215945,3.0
648.2073,371.3053,-2.215945,3.0
642.2091,363.2228,-2.173222,3.0
636.8475,354.5683,-2.06726,3.0
632.4316,345.3952,-1.961265,3.0
629.011,335.8063,-1.855258,3.0
626.624,325.9094,-1.749231,3.0
625.2974,315.8154,-1.643247,3.0
625.0463,305.6378,-1.537281,3.0
625.8732,295.4907,-1.431308,3.0
627.769,285.4881,-1.325292,3.0
630.7125,275.7421,-1.219241,3.0
634.6705,266.3623,-1.11329,3.0
639.2831,257.434,-1.090034,3.0
643.9073,248.5674,-1.090088,3.0
648.5316,239.7008,-1.090088,3.0
653.1851,230.8252,-1.075992,3.0
658.1024,222.0477,-1.040787,3.0
663.3253,213.4486,-1.005666,3.0
668.8472,205.0383,-0.9705036,3.0
674.6614,196.8274,-0.9353183,3.0
680.7606,188.8259,-0.900135,3.0
687.1373,181.0437,-0.8650234,3.0
693.7836,173.4906,-0.8298548,3.0
700.6913,166.1757,-0.794699,3.0
707.852,159.1082,-0.7595216,3.0
715.2566,152.2968,-0.7243767,3.0
722.8961,145.7499,-0.689221,3.0
730.761,139.4756,-0.6540359,3.0
738.8416,133.4816,-0.6189014,3.0
747.1279,127.7754,-0.5837303,3.0
755.6097,122.364,-0.5485646,3.0
764.2765,117.2541,-0.5133935,3.0
773.1176,112.452,-0.4782376,3.0
782.097,107.9566,-0.4558547,3.0
791.0759,103.5543,-0.4558477,3.0
800.0548,99.15208,-0.4558477,3.0
809.0336,94.74982,-0.4558547,3.0
818.0125,90.34757,-0.4558477,3.0
722.5389,496.3497,-1.706159,3.0
721.0405,486.7934,-1.772914,4.0
718.7455,477.567,-1.866024,4.0
715.6024,468.5941,-1.959214,4.0
711.6383,459.9524,-2.052323,4.0
706.8876,451.7168,-2.145493,4.0
701.3914,443.9589,-2.238617,4.0
695.1207,436.4973,-2.281786,4.0
688.5949,428.92,-2.281477,4.0
682.0737,421.2076,-2.261733,4.0
675.7048,413.3626,-2.241705,4.0
669.494,405.3918,-2.221762,4.0
663.4502,397.3803,-2.215945,4.0
657.437,389.3902,-2.215945,4.0
651.4239,381.4001,-2.215945,4.0
645.4107,373.4099,-2.215945,4.0
639.3356,365.2211,-2.173392,4.0
633.7787,356.2514,-2.067396,4.0
629.202,346.7441,-1.961458,4.0
625.6568,336.806,-1.855451,4.0
623.1829,326.5486,-1.749421,4.0
621.808,316.087,-1.643432,4.0
621.5477,305.5387,-1.537465,4.0
622.4047,295.022,-1.431429,4.0
624.3696,284.6551,-1.325485,4.0
627.4203,274.5542,-1.219501,4.0
631.5224,264.8327,-1.113427,4.0
636.1798,255.8155,-1.090088,4.0
640.804,246.9489,-1.090088,4.0
645.4282,238.0823,-1.090041,4.0
650.102,229.1685,-1.075999,4.0
655.0795,220.2837,-1.040839,4.0
660.3663,211.5793,-1.005674,4.0
665.9557,203.0662,-0.9705122,4.0
671.841,194.7549,-0.9353765,4.0
678.0148,186.6555,-0.9001924,4.0
684.4695,178.7782,-0.8650332,4.0
691.1971,171.1326,-0.8298548,4.0
698.1893,163.7283,-0.7947096,4.0
705.4375,156.5744,-0.7595437,4.0
712.9327,149.6796,-0.7243879,4.0
720.6656,143.0526,-0.6892326,4.0
728.6267,136.7016,-0.6540481,4.0
736.8062,130.6343,-0.6189014,4.0
745.1938,124.8583,-0.5837431,4.0
